latent_dim,gamma,source_label,target_label,mmd_latent,wasserstein_distance_latent,mmd_image,classifier_confidence_image,entropy,running_time,iter_count
2,1.0,1,3,1.8826454877853394,0.5540203315382624,0.9277929,0.033395004,13.096885,0.059924582950770855,4
2,1.0,1,4,1.1369465589523315,0.9041094627394376,1.2238086,0.010718718,13.042132,0.061279875109903514,5
2,1.0,1,5,2.9468178749084473,0.4265492081976123,1.0451951,0.99994326,12.871443,0.010058833984658122,3
2,1.0,1,6,2.2149696350097656,1.0368139497177393,1.0049088,1.0,13.004035,0.0157019579783082,6
2,1.0,1,7,1.5097687244415283,0.47382277970941955,1.0113211,0.40177563,13.136511,0.060137666994705796,6
2,1.0,1,8,1.7996551990509033,0.34429912215441877,1.1176735,0.8387069,13.044061,0.014116624952293932,5
2,1.0,1,9,1.067691683769226,0.7228903622517092,0.836823,0.99292797,13.082341,0.019608916947618127,8
2,1.0,2,3,1.0420130491256714,0.42605692961714553,0.9326608,0.030803798,13.035252,0.02296212501823902,10
2,1.0,2,4,1.0512287616729736,0.7401675220107738,0.7476853,0.14854468,12.987186,0.017077166005037725,7
2,1.0,2,5,1.5902316570281982,0.3518501460472709,0.65832144,0.95277715,12.845578,0.011988083948381245,5
2,1.0,2,6,2.2957465648651123,1.0798502549751332,0.9465509,0.9970194,12.991348,0.011994166998192668,4
2,1.0,2,7,1.7608673572540283,0.55659218706353,0.7527624,0.5828515,13.120875,0.01706258300691843,6
2,1.0,2,8,0.7275643348693848,0.26276303914669474,0.67594916,0.72331417,13.010954,0.017067582928575575,7
2,1.0,2,9,1.5151420831680298,0.9022340147246367,0.7622307,0.9800158,13.072511,0.016477375058457255,6
2,1.0,3,4,1.539069414138794,0.8405400950598837,0.98628366,0.1669411,13.003191,0.021757249953225255,11
2,1.0,3,5,1.9041939973831177,0.34125553818422427,0.9459823,0.9418243,12.837505,0.019855541992001235,10
2,1.0,3,6,1.9416722059249878,1.0543678325077508,0.9315132,1.0,12.978851,0.01738787500653416,7
